variable_code,variable_name,chem_category,unit,observations,n_sites,first_record_utc,last_record_utc
Nb,Niobium,stream_flux,kg/ha/d,23143,13,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Nd,Neodymium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Nd,Neodymium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Nd,Neodymium,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Nd,Neodymium,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Nd145,Neodymium-145,precip_conc,mg/L,39598,13,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Nd145,Neodymium-145,precip_flux,kg/ha/d,39598,13,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Nd145,Neodymium-145,stream_conc,mg/L,49737,12,2005-09-26T00:00:00Z,2019-08-12T00:00:00Z
Nd145,Neodymium-145,stream_flux,kg/ha/d,28667,12,2009-02-02T00:00:00Z,2019-08-12T00:00:00Z
NH3_N,Ammonia-N,precip_conc,mg/L,194006,14,1968-10-21T00:00:00Z,2017-04-05T00:00:00Z
NH3_N,Ammonia-N,precip_flux,kg/ha/d,176990,10,1968-10-21T00:00:00Z,2017-04-05T00:00:00Z
NH3_N,Ammonia-N,stream_conc,mg/L,157891,22,1968-10-09T00:00:00Z,2019-05-22T00:00:00Z
NH3_N,Ammonia-N,stream_flux,kg/ha/d,144318,13,1968-10-09T00:00:00Z,2019-05-22T00:00:00Z
NH4,Ammonium,precip_conc,mg/L,15037,13,2001-09-10T00:00:00Z,2020-12-31T00:00:00Z
NH4,Ammonium,precip_flux,kg/ha/d,17687,19,2001-09-10T00:00:00Z,2022-01-05T00:00:00Z
NH4_N,Ammonium-N,precip_conc,mg/L,403844,55,1970-01-07T00:00:00Z,2021-05-10T00:00:00Z
NH4_N,Ammonium-N,precip_flux,kg/ha/d,403844,55,1970-01-07T00:00:00Z,2021-05-10T00:00:00Z
NH4_N,Ammonium-N,stream_conc,mg/L,1411667,239,1964-03-16T00:00:00Z,2021-05-24T00:00:00Z
NH4_N,Ammonium-N,stream_flux,kg/ha/d,694125,110,1964-03-16T00:00:00Z,2020-11-05T00:00:00Z
NH4_NH3_N,Ammonia-N and Ammonium-N,stream_conc,mg/L,1343,1,2009-10-23T00:00:00Z,2013-06-26T00:00:00Z
Ni,Nickel,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Ni,Nickel,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Ni,Nickel,stream_conc,mg/L,147757,43,1990-12-03T00:00:00Z,2020-12-02T00:00:00Z
Ni,Nickel,stream_flux,kg/ha/d,58946,16,1990-12-03T00:00:00Z,2020-12-02T00:00:00Z
Ni60,Nickel-60,precip_conc,mg/L,39598,13,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Ni60,Nickel-60,precip_flux,kg/ha/d,39598,13,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Ni60,Nickel-60,stream_conc,mg/L,36772,9,2005-09-26T00:00:00Z,2019-07-23T00:00:00Z
Ni60,Nickel-60,stream_flux,kg/ha/d,16413,9,2010-07-01T00:00:00Z,2019-07-23T00:00:00Z
NO2,Nitrite,precip_conc,mg/L,40287,13,2011-03-28T00:00:00Z,2019-09-20T00:00:00Z
NO2,Nitrite,precip_flux,kg/ha/d,40287,13,2011-03-28T00:00:00Z,2019-09-20T00:00:00Z
NO2,Nitrite,stream_conc,mg/L,58523,29,2005-09-26T00:00:00Z,2020-01-27T00:00:00Z
NO2,Nitrite,stream_flux,kg/ha/d,29335,13,2009-02-02T00:00:00Z,2019-09-15T00:00:00Z
NO2_N,Nitrite-N,precip_conc,mg/L,169,13,1998-04-26T00:00:00Z,1998-05-08T00:00:00Z
NO2_N,Nitrite-N,precip_flux,kg/ha/d,169,13,1998-04-26T00:00:00Z,1998-05-08T00:00:00Z
NO2_N,Nitrite-N,stream_conc,mg/L,389132,63,1992-10-22T00:00:00Z,2020-12-14T00:00:00Z
NO2_N,Nitrite-N,stream_flux,kg/ha/d,181114,34,1993-12-02T00:00:00Z,2020-01-24T00:00:00Z
NO3,Nitrate,precip_conc,mg/L,15037,13,2001-09-10T00:00:00Z,2020-12-31T00:00:00Z
NO3,Nitrate,precip_flux,kg/ha/d,17687,19,2001-09-10T00:00:00Z,2022-01-05T00:00:00Z
NO3_N,Nitrate-N,precip_conc,mg/L,632356,73,1968-10-21T00:00:00Z,2021-05-10T00:00:00Z
NO3_N,Nitrate-N,precip_flux,kg/ha/d,615340,69,1968-10-21T00:00:00Z,2021-05-10T00:00:00Z
NO3_N,Nitrate-N,stream_conc,mg/L,1493685,239,1964-03-16T00:00:00Z,2021-05-24T00:00:00Z
NO3_N,Nitrate-N,stream_flux,kg/ha/d,912844,121,1964-03-16T00:00:00Z,2020-11-05T00:00:00Z
NO3_NO2_N,Nitrate-N and nitrite-N,stream_conc,mg/L,604816,93,1976-11-04T00:00:00Z,2020-11-03T00:00:00Z
NO3_NO2_N,Nitrate-N and nitrite-N,stream_flux,kg/ha/d,215157,38,1976-11-04T00:00:00Z,2020-11-03T00:00:00Z
OMAl,Aluminum OM,precip_conc,mg/L,28485,9,2012-09-10T00:00:00Z,2021-05-10T00:00:00Z
OMAl,Aluminum OM,precip_flux,kg/ha/d,28485,9,2012-09-10T00:00:00Z,2021-05-10T00:00:00Z
OMAl,Aluminum OM,stream_conc,mg/L,29143,10,2013-05-20T00:00:00Z,2021-05-24T00:00:00Z
OMAl,Aluminum OM,stream_flux,kg/ha/d,23012,9,2013-06-01T00:00:00Z,2020-06-02T00:00:00Z
Os,Osmium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Os,Osmium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Os,Osmium,stream_conc,mg/L,23871,10,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
Os,Osmium,stream_flux,kg/ha/d,20142,9,2007-01-31T00:00:00Z,2020-12-02T00:00:00Z
P,Phosphorus,precip_conc,mg/L,37934,26,2011-08-04T00:00:00Z,2019-07-29T00:00:00Z
P,Phosphorus,precip_flux,kg/ha/d,37934,26,2011-08-04T00:00:00Z,2019-07-29T00:00:00Z
P,Phosphorus,stream_conc,mg/L,149672,43,1993-01-18T00:00:00Z,2020-12-02T00:00:00Z
P,Phosphorus,stream_flux,kg/ha/d,70727,26,1994-08-28T00:00:00Z,2020-12-02T00:00:00Z
Pb,Lead,precip_conc,mg/L,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Pb,Lead,precip_flux,kg/ha/d,39611,26,2011-03-28T00:00:00Z,2019-07-29T00:00:00Z
Pb,Lead,stream_conc,mg/L,124282,48,1990-12-03T00:00:00Z,2020-12-02T00:00:00Z
Pb,Lead,stream_flux,kg/ha/d,63070,23,1990-12-03T00:00:00Z,2020-12-02T00:00:00Z
Pd,Palladium,precip_conc,mg/L,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Pd,Palladium,precip_flux,kg/ha/d,13,13,2018-06-13T00:00:00Z,2018-06-13T00:00:00Z
Pd,Palladium,stream_conc,mg/L,79546,13,1993-07-23T00:00:00Z,2020-12-02T00:00:00Z
Pd,Palladium,stream_flux,kg/ha/d,32367,10,1994-08-28T00:00:00Z,2020-12-02T00:00:00Z
pH,pH,NA,unitless,2030163,246,1963-06-01T00:00:00Z,2021-11-03T00:00:00Z
phaeopig,Phaeopigment,stream_conc,mg/L,5711,6,2008-06-19T00:00:00Z,2012-07-30T00:00:00Z
pheophy,Sestonic Phaeophytin,stream_conc,mg/L,94170,46,2004-06-21T00:00:00Z,2017-08-26T00:00:00Z
pHmetrohm,pH Metrohm,NA,unitless,28734,11,2017-06-12T00:00:00Z,2021-05-24T00:00:00Z
PO4,Phosphate,precip_flux,kg/ha/d,6645,7,2019-04-08T00:00:00Z,2022-01-05T00:00:00Z
PO4_P,Phosphate-P,precip_conc,mg/L,519795,67,1968-10-21T00:00:00Z,2021-05-10T00:00:00Z
PO4_P,Phosphate-P,precip_flux,kg/ha/d,502779,63,1968-10-21T00:00:00Z,2021-05-10T00:00:00Z
PO4_P,Phosphate-P,stream_conc,mg/L,968056,179,1968-10-09T00:00:00Z,2021-05-24T00:00:00Z
PO4_P,Phosphate-P,stream_flux,kg/ha/d,667441,102,1968-10-09T00:00:00Z,2020-11-05T00:00:00Z
POC,Particulate Organic Carbon,stream_conc,mg/L,43922,18,1993-06-18T00:00:00Z,2018-12-03T00:00:00Z
POC,Particulate Organic Carbon,stream_flux,kg/ha/d,10101,7,2002-05-06T00:00:00Z,2015-11-23T00:00:00Z
