method,estimate,n
rating,0.039773878052838225,192
composite,0.046479482924758383,192
pw,0.043225108183553435,192
beale,0.04494851170219032,192
rating,0.03992086402633009,192
composite,0.04444739545605142,192
pw,0.04181363582460826,192
beale,0.04466233085178662,192
rating,0.03909414959458348,192
composite,0.04273119333141097,192
pw,0.038312858211243625,192
beale,0.036747974664015075,192
rating,0.034870825655955395,192
composite,0.039440233073009714,192
pw,0.03741086666143681,192
beale,0.03085699535719161,192
rating,0.03139574607791655,192
composite,0.03555181615001107,192
pw,0.038734790679465135,192
beale,0.03807743795898348,192
rating,0.03595467448760822,192
composite,0.038871564723853065,192
pw,0.043225108183553435,192
beale,0.04494851170219032,192
rating,0.03992086402633009,192
composite,0.04444739545605142,192
pw,0.0399876081771578,192
beale,0.037689400161287745,192
rating,0.03052532867480482,192
composite,0.03900945810374876,192
pw,0.03911346937479893,192
beale,0.03800308326265743,192
rating,0.03419980388574347,192
composite,0.03936214933669758,192
pw,0.042960443020100325,192
beale,0.04202963113026417,192
rating,0.03701288433443274,192
composite,0.042690393418311295,192
pw,0.04339267744123222,192
beale,0.03749040382592575,192
rating,0.03843941987302753,192
composite,0.04247743495834814,192
pw,0.0411872110279746,192
beale,0.04199100979804787,192
rating,0.036794733970508586,192
composite,0.04126201217480327,192
pw,0.04258350889685234,192
beale,0.033247386654922696,192
rating,0.031049570761022414,192
composite,0.04015276578937583,192
pw,0.04449283855316187,192
beale,0.038970031287441635,192
rating,0.03537294185266051,192
composite,0.04206625152626498,192
pw,0.04357328967721884,192
beale,0.02442567174415093,192
rating,0.03015968398955073,192
composite,0.037033938921580085,192
pw,0.04233592497784503,192
beale,0.04280735634783878,192
rating,0.0377688185091375,192
composite,0.04369006108443606,192
pw,0.04035633910717814,192
beale,0.039576893041308014,192
rating,0.0354638879388088,192
composite,0.04049896746555882,192
pw,0.03816593229196637,192
beale,0.034053128441468426,192
rating,0.030796588391440186,192
composite,0.03736611039875576,192
pw,0.04315603797260714,192
beale,0.041959818346402444,192
rating,0.03444178901431894,192
composite,0.0442184428758597,192
pw,0.04267574715955437,96
beale,0.044431283569863284,96
rating,0.03630886844779871,96
composite,0.04353866421394804,96
pw,0.04263798279014109,96
beale,0.03433974718673456,96
rating,0.03222284009065425,96
composite,0.04123881534396382,96
pw,0.038792816531996524,96
beale,0.03614311869150688,96
rating,0.035463946545308975,96
composite,0.03877087594795719,96
pw,0.04193564226047672,96
beale,0.03688992101119309,96
rating,0.03376721835654278,96
composite,0.04172928319277603,96
pw,0.040887767357653544,96
beale,0.03704550344815708,96
rating,0.035597867088164106,96
composite,0.0406802289335145,96
pw,0.04190976298017093,96
beale,0.040760169871018374,96
rating,0.03744358113771756,96
composite,0.04255254542004943,96
pw,0.04421323113079812,96
beale,0.040421757265410134,96
rating,0.03651701977553014,96
composite,0.04474166187112974,96
pw,0.03867510579059444,96
beale,0.034920264084907615,96
rating,0.032148442866266634,96
composite,0.03792320697596379,96
pw,0.042960443020100325,96
beale,0.04202963113026417,96
rating,0.03701288433443274,96
composite,0.042690393418311295,96
pw,0.042960443020100325,96
beale,0.04202963113026417,96
rating,0.03701288433443274,96
composite,0.042690393418311295,96
pw,0.04040140033557974,96
beale,0.03811297586918121,96
rating,0.03514333507863929,96
composite,0.04065433966358347,96
pw,0.03867510579059444,96
beale,0.034920264084907615,96
rating,0.032148442866266634,96
composite,0.03792320697596379,96
pw,0.04096861300178044,96
beale,0.03863241547011476,96
rating,0.038305085889297236,96
composite,0.040717191450101636,96
pw,0.03949569531230582,96
beale,0.03861102477345337,96
rating,0.03282074652012135,96
composite,0.03934269434948625,96
pw,0.04233592497784503,96
beale,0.04280735634783878,96
rating,0.0377688185091375,96
composite,0.04369006108443606,96
pw,0.04422898705695347,96
beale,0.040625705089864135,96
rating,0.03382825671698324,96
composite,0.041385227825149085,96
pw,0.03936399790284903,96
beale,0.037221119105154285,96
rating,0.03404000249622607,96
composite,0.0394693630011387,96
pw,0.03911346937479893,96
beale,0.03800308326265743,96
rating,0.03419980388574347,96
composite,0.03936214933669758,96
pw,0.03644913941594618,96
beale,0.036216065206168206,96
rating,0.03556910916004245,96
composite,0.03605292666991216,96
pw,0.03862309305918639,96
beale,0.03642301777380963,96
rating,0.033319971298673506,96
composite,0.03855897953112596,96
pw,0.04007845355407626,96
beale,0.03860281088662906,96
rating,0.03589838893594202,96
composite,0.040194861450040364,96
pw,0.038372594506559415,96
beale,0.03763299345751169,96
rating,0.03385981625511903,96
composite,0.038741533893386325,96
pw,0.04043003522642643,96
beale,0.03909317541586094,96
rating,0.036021569158914024,96
composite,0.0399824754286285,96
pw,0.041167192086401884,96
beale,0.038226618053523,96
rating,0.03388803405131807,96
composite,0.04107328426692932,96
pw,0.04421323113079812,96
beale,0.040421757265410134,96
rating,0.03651701977553014,96
composite,0.04474166187112974,96
pw,0.03844568759471791,96
beale,0.03791389768428955,96
rating,0.03452550136171509,96
composite,0.03866177014502632,96
pw,0.043663619017056704,96
beale,0.03876983608105292,96
rating,0.033170296680469044,96
composite,0.04063388161492272,96
pw,0.03867510579059444,96
beale,0.034920264084907615,96
rating,0.032148442866266634,96
composite,0.03792320697596379,96
pw,0.042960443020100325,96
beale,0.04202963113026417,96
rating,0.03701288433443274,96
composite,0.042690393418311295,96
pw,0.04637022134811071,96
beale,0.04252989058368307,96
rating,0.032419196867367765,96
composite,0.04154172021766437,96
pw,0.03931464285700108,96
beale,0.03485353934259456,96
rating,0.033452492127094655,96
composite,0.03831764880268566,96
pw,0.04193564226047672,96
beale,0.03688992101119309,96
rating,0.03376721835654278,96
composite,0.04172928319277603,96
pw,0.03811139762403358,96
beale,0.027725032432992437,96
rating,0.025737124409184464,96
composite,0.03609284053114408,96
pw,0.04421323113079812,96
beale,0.040421757265410134,96
rating,0.03651701977553014,96
composite,0.04474166187112974,96
pw,0.04097129119437618,96
beale,0.0374173916691517,96
rating,0.03383221272856724,96
composite,0.040460301637564644,96
pw,0.04035633910717814,96
beale,0.039576893041308014,96
rating,0.0354638879388088,96
composite,0.04049896746555882,96
pw,0.04175957511881479,96
beale,0.03650678925234375,96
rating,0.03322047686630865,96
composite,0.04144354671559374,96
pw,0.04166003193367767,96
beale,0.03713021044506979,96
rating,0.03547577986434318,96
composite,0.04118018289993397,96
pw,0.041167192086401884,96
beale,0.038226618053523,96
rating,0.03388803405131807,96
composite,0.04107328426692932,96
pw,0.04233592497784503,96
beale,0.04280735634783878,96
rating,0.0377688185091375,96
composite,0.04369006108443606,96
pw,0.03867510579059444,96
beale,0.034920264084907615,96
rating,0.032148442866266634,96
composite,0.03792320697596379,96
pw,0.038792816531996524,96
beale,0.03614311869150688,96
rating,0.035463946545308975,96
composite,0.03877087594795719,96
pw,0.03816593229196637,96
beale,0.034053128441468426,96
rating,0.030796588391440186,96
composite,0.03736611039875576,96
pw,0.04063838770859448,96
beale,0.034501524515039086,96
rating,0.03206927131242575,96
composite,0.03971491233667139,96
pw,0.03931464285700108,96
beale,0.03485353934259456,96
rating,0.033452492127094655,96
composite,0.03831764880268566,96
pw,0.03741086666143681,96
beale,0.03085699535719161,96
rating,0.03139574607791655,96
composite,0.03555181615001107,96
pw,0.040507848886124076,96
beale,0.03726279106274226,96
rating,0.0329258568585998,96
composite,0.0400306926220872,96
pw,0.04326487205610484,96
beale,0.04159417742872264,96
rating,0.037297206074526024,96
composite,0.04338619966068263,96
pw,0.040357694168385104,96
beale,0.03761191276515632,96
rating,0.03506139434534318,96
composite,0.04062913472223018,96
pw,0.03844568759471791,96
beale,0.03791389768428955,96
rating,0.03452550136171509,96
composite,0.03866177014502632,96
pw,0.04422898705695347,96
beale,0.040625705089864135,96
rating,0.03382825671698324,96
composite,0.041385227825149085,96
pw,0.038792816531996524,96
beale,0.03614311869150688,96
rating,0.035463946545308975,96
composite,0.03877087594795719,96
pw,0.03875817052004694,96
beale,0.03790968139475133,96
rating,0.034448624074815394,96
composite,0.03897322854393031,96
pw,0.03813915621228492,96
beale,0.03727531825140655,96
rating,0.034158202403675474,96
composite,0.03856133198644465,96
pw,0.04258350889685234,96
beale,0.033247386654922696,96
rating,0.031049570761022414,96
composite,0.04015276578937583,96
pw,0.0411872110279746,96
beale,0.04199100979804787,96
rating,0.036794733970508586,96
composite,0.04126201217480327,96
pw,0.039328098145622235,96
beale,0.03374929226216149,96
rating,0.032002227951501566,96
composite,0.0390873173946677,96
pw,0.03931464285700108,96
beale,0.03485353934259456,96
rating,0.033452492127094655,96
composite,0.03831764880268566,96
pw,0.040003805746685106,96
beale,0.04112720845737683,96
rating,0.035703150831907705,96
composite,0.04006178920649292,96
pw,0.043225108183553435,96
beale,0.04494851170219032,96
rating,0.03992086402633009,96
composite,0.04444739545605142,96
pw,0.04498975614502312,96
beale,0.04226871098570809,96
rating,0.037211508051016466,96
composite,0.04547575819922852,96
pw,0.04258350889685234,96
beale,0.033247386654922696,96
rating,0.031049570761022414,96
composite,0.04015276578937583,96
pw,0.04379264340288853,96
beale,0.03923891272467888,96
rating,0.036252787076961064,96
composite,0.043638785617184234,96
pw,0.038372594506559415,96
beale,0.03763299345751169,96
rating,0.03385981625511903,96
composite,0.038741533893386325,96
pw,0.043225108183553435,96
beale,0.04494851170219032,96
rating,0.03992086402633009,96
composite,0.04444739545605142,96
pw,0.03849680056481672,96
beale,0.037602997787584455,96
rating,0.034402994122883904,96
composite,0.03888396143734739,96
pw,0.04234312788365999,96
beale,0.03741541890845535,96
rating,0.030498603909242823,96
composite,0.040987204613529865,96
pw,0.04469614241449601,96
beale,0.0456637517271331,96
rating,0.04037690578896989,96
composite,0.045156936823052087,96
pw,0.03936399790284903,96
beale,0.037221119105154285,96
rating,0.03404000249622607,96
composite,0.0394693630011387,96
pw,0.040507848886124076,96
beale,0.03726279106274226,96
rating,0.0329258568585998,96
composite,0.0400306926220872,96
pw,0.038312858211243625,96
beale,0.036747974664015075,96
rating,0.034870825655955395,96
composite,0.039440233073009714,96
pw,0.04258350889685234,96
beale,0.033247386654922696,96
rating,0.031049570761022414,96
composite,0.04015276578937583,96
pw,0.04155433786482666,96
beale,0.03798960647393459,96
rating,0.036351218390438415,96
composite,0.04133531412398229,96
pw,0.03644913941594618,96
beale,0.036216065206168206,96
rating,0.03556910916004245,96
composite,0.03605292666991216,96
pw,0.03936399790284903,96
beale,0.037221119105154285,96
rating,0.03404000249622607,96
composite,0.0394693630011387,96
pw,0.03811139762403358,96
beale,0.027725032432992437,96
rating,0.025737124409184464,96
composite,0.03609284053114408,96
pw,0.040507848886124076,96
beale,0.03726279106274226,96
rating,0.0329258568585998,96
composite,0.0400306926220872,96
pw,0.04072349024236464,96
beale,0.03966285305564811,96
rating,0.034900487616607294,96
composite,0.04063303508435553,96
pw,0.04543029531068768,96
beale,0.044696142053217945,96
rating,0.04325482162300586,96
composite,0.048386918471376716,96
pw,0.04209847376961016,96
beale,0.029031212219276167,96
rating,0.029442809317155646,96
composite,0.03700448644459835,96
pw,0.04035633910717814,96
beale,0.039576893041308014,96
rating,0.0354638879388088,96
composite,0.04049896746555882,96
pw,0.0380823183913037,96
beale,0.0376260413192729,96
rating,0.034083238569449684,96
composite,0.03844575230055548,96
pw,0.03811139762403358,96
beale,0.027725032432992437,96
rating,0.025737124409184464,96
composite,0.03609284053114408,96
pw,0.04543029531068768,96
beale,0.044696142053217945,96
rating,0.04325482162300586,96
composite,0.048386918471376716,96
pw,0.038312858211243625,96
beale,0.036747974664015075,96
rating,0.034870825655955395,96
composite,0.039440233073009714,96
pw,0.040887767357653544,96
beale,0.03704550344815708,96
rating,0.035597867088164106,96
composite,0.0406802289335145,96
pw,0.04166003193367767,96
beale,0.03713021044506979,96
rating,0.03547577986434318,96
composite,0.04118018289993397,96
pw,0.043225108183553435,96
beale,0.04494851170219032,96
rating,0.03992086402633009,96
composite,0.04444739545605142,96
pw,0.03896239597953889,96
beale,0.03718933720406919,96
rating,0.03364979269424111,96
composite,0.03905538136990051,96
pw,0.036548110275921177,96
beale,0.03541321792529511,96
rating,0.03260884811933738,96
composite,0.0360891628072455,96
pw,0.04379264340288853,96
beale,0.03923891272467888,96
rating,0.036252787076961064,96
composite,0.043638785617184234,96
pw,0.04379264340288853,96
beale,0.03923891272467888,96
rating,0.036252787076961064,96
composite,0.043638785617184234,96
pw,0.04154564664808503,96
beale,0.03515621125901363,96
rating,0.0324637267324254,96
composite,0.039487624829254594,96
pw,0.039328098145622235,96
beale,0.03374929226216149,96
rating,0.032002227951501566,96
composite,0.0390873173946677,96
pw,0.04176868300851978,96
beale,0.040165193233396006,96
rating,0.03510908725904631,96
composite,0.04155178141269616,96
pw,0.04063838770859448,96
beale,0.034501524515039086,96
rating,0.03206927131242575,96
composite,0.03971491233667139,96
pw,0.03644913941594618,96
beale,0.036216065206168206,96
rating,0.03556910916004245,96
composite,0.03605292666991216,96
pw,0.038372594506559415,96
beale,0.03763299345751169,96
rating,0.03385981625511903,96
composite,0.038741533893386325,96
pw,0.03949569531230582,96
beale,0.03861102477345337,96
rating,0.03282074652012135,96
composite,0.03934269434948625,96
pw,0.039131658640759445,96
beale,0.03641276771310756,96
rating,0.033244324613373975,96
composite,0.03818340871450267,96
pw,0.03849680056481672,46
beale,0.037602997787584455,46
rating,0.034402994122883904,46
composite,0.03888396143734739,46
pw,0.03813915621228492,46
beale,0.03727531825140655,46
rating,0.034158202403675474,46
composite,0.03856133198644465,46
pw,0.03813915621228492,46
beale,0.03727531825140655,46
rating,0.034158202403675474,46
composite,0.03856133198644465,46
pw,0.04150428073336665,46
beale,0.04074509609247482,46
rating,0.037339532395958434,46
composite,0.04162379957033636,46
pw,0.03816593229196637,46
beale,0.034053128441468426,46
rating,0.030796588391440186,46
composite,0.03736611039875576,46
pw,0.03844568759471791,46
beale,0.03791389768428955,46
rating,0.03452550136171509,46
composite,0.03866177014502632,46
pw,0.03957287730542586,46
beale,0.03775785747240352,46
rating,0.03408656236554179,46
composite,0.03978690456530665,46
pw,0.03844568759471791,46
beale,0.03791389768428955,46
rating,0.03452550136171509,46
composite,0.03866177014502632,46
pw,0.0380823183913037,46
beale,0.0376260413192729,46
rating,0.034083238569449684,46
composite,0.03844575230055548,46
pw,0.039328098145622235,46
beale,0.03374929226216149,46
rating,0.032002227951501566,46
composite,0.0390873173946677,46
pw,0.03911346937479893,46
beale,0.03800308326265743,46
rating,0.03419980388574347,46
composite,0.03936214933669758,46
pw,0.03862309305918639,46
beale,0.03642301777380963,46
rating,0.033319971298673506,46
composite,0.03855897953112596,46
pw,0.04175957511881479,46
beale,0.03650678925234375,46
rating,0.03322047686630865,46
composite,0.04144354671559374,46
pw,0.038372594506559415,46
beale,0.03763299345751169,46
rating,0.03385981625511903,46
composite,0.038741533893386325,46
pw,0.04043003522642643,46
beale,0.03909317541586094,46
rating,0.036021569158914024,46
composite,0.0399824754286285,46
pw,0.04190976298017093,46
beale,0.040760169871018374,46
rating,0.03744358113771756,46
composite,0.04255254542004943,46
pw,0.04190976298017093,46
beale,0.040760169871018374,46
rating,0.03744358113771756,46
composite,0.04255254542004943,46
pw,0.040507848886124076,46
beale,0.03726279106274226,46
rating,0.0329258568585998,46
composite,0.0400306926220872,46
pw,0.03939214727541609,46
beale,0.03762304636044854,46
rating,0.03397235119540651,46
composite,0.03941433671025439,46
pw,0.03844568759471791,46
beale,0.03791389768428955,46
rating,0.03452550136171509,46
composite,0.03866177014502632,46
pw,0.0411872110279746,46
beale,0.04199100979804787,46
rating,0.036794733970508586,46
composite,0.04126201217480327,46
pw,0.03969199751792275,46
beale,0.037959536783638455,46
rating,0.036123056027862484,46
composite,0.04024675289111271,46
pw,0.041316547056552605,46
beale,0.03774312382189661,46
rating,0.033758266375460026,46
composite,0.04062009778821165,46
pw,0.039106587759808485,46
beale,0.03897381785430947,46
rating,0.03610881510037732,46
composite,0.039378418574875056,46
pw,0.03849680056481672,46
beale,0.037602997787584455,46
rating,0.034402994122883904,46
composite,0.03888396143734739,46
pw,0.03813915621228492,46
beale,0.03727531825140655,46
rating,0.034158202403675474,46
composite,0.03856133198644465,46
pw,0.038372594506559415,46
beale,0.03763299345751169,46
rating,0.03385981625511903,46
composite,0.038741533893386325,46
pw,0.03957287730542586,46
beale,0.03775785747240352,46
rating,0.03408656236554179,46
composite,0.03978690456530665,46
pw,0.03969199751792275,46
beale,0.037959536783638455,46
rating,0.036123056027862484,46
composite,0.04024675289111271,46
pw,0.041167192086401884,46
beale,0.038226618053523,46
rating,0.03388803405131807,46
composite,0.04107328426692932,46
pw,0.039328098145622235,46
beale,0.03374929226216149,46
rating,0.032002227951501566,46
composite,0.0390873173946677,46
pw,0.03849680056481672,46
beale,0.037602997787584455,46
rating,0.034402994122883904,46
composite,0.03888396143734739,46
pw,0.038372594506559415,46
beale,0.03763299345751169,46
rating,0.03385981625511903,46
composite,0.038741533893386325,46
pw,0.03969199751792275,46
beale,0.037959536783638455,46
rating,0.036123056027862484,46
composite,0.04024675289111271,46
pw,0.04035633910717814,46
beale,0.039576893041308014,46
rating,0.0354638879388088,46
composite,0.04049896746555882,46
pw,0.039802695176540406,46
beale,0.038879683807575546,46
rating,0.03529874113783088,46
composite,0.04008954665190648,46
pw,0.0413325609958972,46
beale,0.03688967603855214,46
rating,0.03248267852054408,46
composite,0.04051531515500326,46
pw,0.038734790679465135,46
beale,0.03807743795898348,46
rating,0.03595467448760822,46
composite,0.038871564723853065,46
pw,0.03896239597953889,46
beale,0.03718933720406919,46
rating,0.03364979269424111,46
composite,0.03905538136990051,46
pw,0.038734790679465135,46
beale,0.03807743795898348,46
rating,0.03595467448760822,46
composite,0.038871564723853065,46
pw,0.04007845355407626,46
beale,0.03860281088662906,46
rating,0.03589838893594202,46
composite,0.040194861450040364,46
pw,0.04190976298017093,46
beale,0.040760169871018374,46
rating,0.03744358113771756,46
composite,0.04255254542004943,46
pw,0.04007845355407626,46
beale,0.03860281088662906,46
rating,0.03589838893594202,46
composite,0.040194861450040364,46
pw,0.03969199751792275,46
beale,0.037959536783638455,46
rating,0.036123056027862484,46
composite,0.04024675289111271,46
pw,0.04007845355407626,46
beale,0.03860281088662906,46
rating,0.03589838893594202,46
composite,0.040194861450040364,46
pw,0.03867510579059444,46
beale,0.034920264084907615,46
rating,0.032148442866266634,46
composite,0.03792320697596379,46
pw,0.040357694168385104,46
beale,0.03761191276515632,46
rating,0.03506139434534318,46
composite,0.04062913472223018,46
pw,0.039802695176540406,46
beale,0.038879683807575546,46
rating,0.03529874113783088,46
composite,0.04008954665190648,46
pw,0.03844568759471791,46
beale,0.03791389768428955,46
rating,0.03452550136171509,46
composite,0.03866177014502632,46
pw,0.0413325609958972,46
beale,0.03688967603855214,46
rating,0.03248267852054408,46
